                                 Test Report,,,,,
,,,,,
>>Start Time: 01/10/19 09:11:06       End Time: 01/10/19 13:43:35,,,,,
>>Sampling rate: 1sec,,,,,
>>Data number: 16350,,,,,
>>Temp Alarm HI: 40 C   Temp Alarm Low: 0 C,,,,,
>>RH Alarm HI: 90 %RH   RH Alarm Low: 10 %RH,,,,,
>>Temp MAX: 31.4 C @13:22:19 01/10/19  Temp MIN: 27.6 C @09:13:18 01/10/19  Temp AVG: 29.69 C,,,,,
>>RH MAX: 66.3 %RH @09:13:21 01/10/19  RH MIN: 53.6 %RH @13:25:45 01/10/19  RH AVG: 58.66 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
      NO            ,   Temp              ,,  RH                 ,, TIME 
124,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:09 
125,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:10 
126,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:11 
127,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:12 
128,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:13:13 
129,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:13:14 
130,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:15 
131,   27.7 C           ,,   66.3 %RH           ,,01-10-19/09:13:16 
132,   27.7 C           ,,   66.3 %RH           ,,01-10-19/09:13:17 
133,   27.6 C           ,,   66.3 %RH           ,,01-10-19/09:13:18 
134,   27.7 C           ,,   66.3 %RH           ,,01-10-19/09:13:19 
135,   27.7 C           ,,   66.3 %RH           ,,01-10-19/09:13:20 
136,   27.7 C           ,,   66.3 %RH           ,,01-10-19/09:13:21 
137,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:22 
138,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:23 
139,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:24 
140,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:25 
141,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:26 
142,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:27 
143,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:28 
144,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:29 
145,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:30 
146,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:31 
147,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:32 
148,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:33 
149,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:34 
150,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:35 
151,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:36 
152,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:37 
153,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:38 
154,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:39 
155,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:40 
156,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:41 
157,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:42 
158,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:43 
159,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:44 
160,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:45 
161,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:46 
162,   27.7 C           ,,   66.2 %RH           ,,01-10-19/09:13:47 
163,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:13:48 
164,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:13:49 
165,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:13:50 
166,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:13:51 
167,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:13:52 
168,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:13:53 
169,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:13:54 
170,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:13:55 
171,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:13:56 
172,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:13:57 
173,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:13:58 
174,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:13:59 
175,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:14:00 
