Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 1 s
Start date = 2019/09/25
Start time = 09:12:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
2019/09/25,09:15:59,917520,854583,"7.106",99,31,0,100,5050
2019/09/25,09:16:00,917498,854549,"7.108",99,31,0,100,5442
2019/09/25,09:16:01,917493,854525,"7.110",99,31,0,100,7792
2019/09/25,09:16:02,917525,854541,"7.112",99,31,0,100,5561
2019/09/25,09:16:03,917532,854528,"7.114",99,31,0,100,7863
2019/09/25,09:16:04,917566,854536,"7.117",99,31,0,100,9533
2019/09/25,09:16:05,917569,854521,"7.119",99,31,0,100,7168
2019/09/25,09:16:06,917563,854504,"7.120",99,31,0,100,4597
2019/09/25,09:16:07,917485,854417,"7.122",99,31,0,100,5786
2019/09/25,09:16:08,917452,854363,"7.124",99,31,0,100,9375
2019/09/25,09:16:09,917606,854487,"7.127",99,31,0,100,7820
2019/09/25,09:16:10,917558,854417,"7.130",99,31,0,100,10194
2019/09/25,09:16:11,917443,854292,"7.132",99,31,0,100,7218
2019/09/25,09:16:12,917438,854269,"7.134",99,31,0,100,7392
2019/09/25,09:16:13,917482,854289,"7.136",99,31,0,100,8450
2019/09/25,09:16:14,917492,854280,"7.138",99,31,0,100,7379
2019/09/25,09:16:15,917544,854313,"7.140",99,31,0,100,6212
2019/09/25,09:16:16,917518,854272,"7.142",99,31,0,100,6766
2019/09/25,09:16:17,917592,854315,"7.145",99,31,0,100,10436
2019/09/25,09:16:18,917528,854234,"7.148",99,31,0,100,8629
2019/09/25,09:16:19,917486,854176,"7.150",99,31,0,100,7616
2019/09/25,09:16:20,917475,854154,"7.151",99,31,0,100,4739
2019/09/25,09:16:21,917478,854134,"7.154",99,31,0,100,9186
2019/09/25,09:16:22,917506,854149,"7.155",99,31,0,100,4460
